incident_type_code,year,total_incident_count
1.1.1 Diefstal/inbraak woning,2012,91595
1.1.1 Diefstal/inbraak woning,2013,87455
1.1.1 Diefstal/inbraak woning,2014,71143
1.1.1 Diefstal/inbraak woning,2015,64676
1.1.1 Diefstal/inbraak woning,2016,55495
1.1.1 Diefstal/inbraak woning,2017,49209
1.1.1 Diefstal/inbraak woning,2018,42887
1.1.1 Diefstal/inbraak woning,2019,39474
1.1.1 Diefstal/inbraak woning,2020,30571
1.1.1 Diefstal/inbraak woning,2021,23525
1.1.1 Diefstal/inbraak woning,2022,24414
1.1.1 Diefstal/inbraak woning,2023,22706
1.1.2 Diefstal/inbraak box/garage/schuur,2012,20050
1.1.2 Diefstal/inbraak box/garage/schuur,2013,23044
1.1.2 Diefstal/inbraak box/garage/schuur,2014,21862
1.1.2 Diefstal/inbraak box/garage/schuur,2015,21224
1.1.2 Diefstal/inbraak box/garage/schuur,2016,18493
1.1.2 Diefstal/inbraak box/garage/schuur,2017,15235
1.1.2 Diefstal/inbraak box/garage/schuur,2018,12526
1.1.2 Diefstal/inbraak box/garage/schuur,2019,12250
1.1.2 Diefstal/inbraak box/garage/schuur,2020,13804
1.1.2 Diefstal/inbraak box/garage/schuur,2021,12285
1.1.2 Diefstal/inbraak box/garage/schuur,2022,10677
1.1.2 Diefstal/inbraak box/garage/schuur,2023,11000
1.2.1 Diefstal uit/vanaf motorvoertuigen,2012,99450
1.2.1 Diefstal uit/vanaf motorvoertuigen,2013,96122
1.2.1 Diefstal uit/vanaf motorvoertuigen,2014,84717
1.2.1 Diefstal uit/vanaf motorvoertuigen,2015,82098
1.2.1 Diefstal uit/vanaf motorvoertuigen,2016,77412
1.2.1 Diefstal uit/vanaf motorvoertuigen,2017,63759
1.2.1 Diefstal uit/vanaf motorvoertuigen,2018,53478
1.2.1 Diefstal uit/vanaf motorvoertuigen,2019,48515
1.2.1 Diefstal uit/vanaf motorvoertuigen,2020,45250
1.2.1 Diefstal uit/vanaf motorvoertuigen,2021,38642
1.2.1 Diefstal uit/vanaf motorvoertuigen,2022,43210
1.2.1 Diefstal uit/vanaf motorvoertuigen,2023,43515
1.2.2 Diefstal van motorvoertuigen,2012,16120
1.2.2 Diefstal van motorvoertuigen,2013,16890
1.2.2 Diefstal van motorvoertuigen,2014,15475
1.2.2 Diefstal van motorvoertuigen,2015,14778
1.2.2 Diefstal van motorvoertuigen,2016,13225
1.2.2 Diefstal van motorvoertuigen,2017,11615
1.2.2 Diefstal van motorvoertuigen,2018,10707
1.2.2 Diefstal van motorvoertuigen,2019,9995
1.2.2 Diefstal van motorvoertuigen,2020,9678
1.2.2 Diefstal van motorvoertuigen,2021,7990
1.2.2 Diefstal van motorvoertuigen,2022,9017
1.2.2 Diefstal van motorvoertuigen,2023,9303
"1.2.3 Diefstal van brom-, snor-, fietsen",2012,123742
"1.2.3 Diefstal van brom-, snor-, fietsen",2013,122796
"1.2.3 Diefstal van brom-, snor-, fietsen",2014,127392
"1.2.3 Diefstal van brom-, snor-, fietsen",2015,123438
"1.2.3 Diefstal van brom-, snor-, fietsen",2016,110864
"1.2.3 Diefstal van brom-, snor-, fietsen",2017,91582
"1.2.3 Diefstal van brom-, snor-, fietsen",2018,82081
"1.2.3 Diefstal van brom-, snor-, fietsen",2019,81997
"1.2.3 Diefstal van brom-, snor-, fietsen",2020,76291
"1.2.3 Diefstal van brom-, snor-, fietsen",2021,71439
"1.2.3 Diefstal van brom-, snor-, fietsen",2022,92173
"1.2.3 Diefstal van brom-, snor-, fietsen",2023,96927
1.2.4 Zakkenrollerij,2012,37419
1.2.4 Zakkenrollerij,2013,41983
1.2.4 Zakkenrollerij,2014,33327
1.2.4 Zakkenrollerij,2015,29307
1.2.4 Zakkenrollerij,2016,25422
1.2.4 Zakkenrollerij,2017,20902
1.2.4 Zakkenrollerij,2018,15025
1.2.4 Zakkenrollerij,2019,12852
1.2.4 Zakkenrollerij,2020,6915
1.2.4 Zakkenrollerij,2021,5585
1.2.4 Zakkenrollerij,2022,10234
1.2.4 Zakkenrollerij,2023,12393
1.2.5 Diefstal af/uit/van ov. voertuigen,2012,18676
1.2.5 Diefstal af/uit/van ov. voertuigen,2013,19118
1.2.5 Diefstal af/uit/van ov. voertuigen,2014,19284
1.2.5 Diefstal af/uit/van ov. voertuigen,2015,17334
1.2.5 Diefstal af/uit/van ov. voertuigen,2016,15060
1.2.5 Diefstal af/uit/van ov. voertuigen,2017,14221
1.2.5 Diefstal af/uit/van ov. voertuigen,2018,13687
1.2.5 Diefstal af/uit/van ov. voertuigen,2019,16979
1.2.5 Diefstal af/uit/van ov. voertuigen,2020,17550
1.2.5 Diefstal af/uit/van ov. voertuigen,2021,16692
1.2.5 Diefstal af/uit/van ov. voertuigen,2022,24431
1.2.5 Diefstal af/uit/van ov. voertuigen,2023,28402
1.3.1 Ongevallen (weg),2012,88006
1.3.1 Ongevallen (weg),2013,87328
1.3.1 Ongevallen (weg),2014,82362
1.3.1 Ongevallen (weg),2015,80796
1.3.1 Ongevallen (weg),2016,81047
1.3.1 Ongevallen (weg),2017,78787
1.3.1 Ongevallen (weg),2018,81167
