incident_type_code,year,total_incident_count
Overlast door verward persoon,2012,44571
Overlast door verward persoon,2013,52168
Overlast door verward persoon,2014,59600
Overlast door verward persoon,2015,66030
Overlast door verward persoon,2016,74939
Overlast door verward persoon,2017,83611
Overlast door verward persoon,2018,90628
Overlast door verward persoon,2019,99662
Overlast door verward persoon,2020,117246
Overlast door verward persoon,2021,130194
Overlast door verward persoon,2022,138807
Overlast door verward persoon,2023,141724
Melding overlast jeugd,2012,90714
Melding overlast jeugd,2013,82124
Melding overlast jeugd,2014,86454
Melding overlast jeugd,2015,81075
Melding overlast jeugd,2016,86408
Melding overlast jeugd,2017,87875
Melding overlast jeugd,2018,70802
Melding overlast jeugd,2019,76546
Melding overlast jeugd,2020,137946
Melding overlast jeugd,2021,125487
Melding overlast jeugd,2022,88711
Melding overlast jeugd,2023,83694
Overlast ivm alcohol/ drugs,2012,19836
Overlast ivm alcohol/ drugs,2013,24771
Overlast ivm alcohol/ drugs,2014,25163
Overlast ivm alcohol/ drugs,2015,25689
Overlast ivm alcohol/ drugs,2016,29709
Overlast ivm alcohol/ drugs,2017,32429
Overlast ivm alcohol/ drugs,2018,36807
Overlast ivm alcohol/ drugs,2019,40159
Overlast ivm alcohol/ drugs,2020,46275
Overlast ivm alcohol/ drugs,2021,46015
Overlast ivm alcohol/ drugs,2022,56028
Overlast ivm alcohol/ drugs,2023,59430
Overlast zwervers,2012,11849
Overlast zwervers,2013,10702
Overlast zwervers,2014,11484
Overlast zwervers,2015,11523
Overlast zwervers,2016,14221
Overlast zwervers,2017,16142
Overlast zwervers,2018,18889
Overlast zwervers,2019,22281
Overlast zwervers,2020,28719
Overlast zwervers,2021,26766
Overlast zwervers,2022,33092
Overlast zwervers,2023,40525
Openbare dronkenschap,2012,4148
Openbare dronkenschap,2013,8647
Openbare dronkenschap,2014,9235
Openbare dronkenschap,2015,8146
Openbare dronkenschap,2016,8385
Openbare dronkenschap,2017,8312
Openbare dronkenschap,2018,8136
Openbare dronkenschap,2019,7920
Openbare dronkenschap,2020,5779
Openbare dronkenschap,2021,5104
Openbare dronkenschap,2022,6735
Openbare dronkenschap,2023,6045
Geluidshinder horeca,2012,7899
Geluidshinder horeca,2013,7794
Geluidshinder horeca,2014,7495
Geluidshinder horeca,2015,6372
Geluidshinder horeca,2016,6270
Geluidshinder horeca,2017,5796
Geluidshinder horeca,2018,5478
Geluidshinder horeca,2019,4767
Geluidshinder horeca,2020,3136
Geluidshinder horeca,2021,2540
Geluidshinder horeca,2022,4199
Geluidshinder horeca,2023,3231
Geluidshinder evenement,2012,2078
Geluidshinder evenement,2013,2068
Geluidshinder evenement,2014,2348
Geluidshinder evenement,2015,1897
Geluidshinder evenement,2016,1856
Geluidshinder evenement,2017,1834
Geluidshinder evenement,2018,1689
Geluidshinder evenement,2019,1593
Geluidshinder evenement,2020,679
Geluidshinder evenement,2021,1080
Geluidshinder evenement,2022,1739
Geluidshinder evenement,2023,1326
Geluidshinder overig,2012,98230
Geluidshinder overig,2013,103522
Geluidshinder overig,2014,108474
Geluidshinder overig,2015,104647
Geluidshinder overig,2016,111613
Geluidshinder overig,2017,115286
Geluidshinder overig,2018,117559
Geluidshinder overig,2019,113874
Geluidshinder overig,2020,170392
Geluidshinder overig,2021,199773
Geluidshinder overig,2022,132042
Geluidshinder overig,2023,108202
