"Key","Title","Description","CategoryGroupID"
"NL01  ","Nederland",,
"RE01  ","Noord-Nederland (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE02  ","Oost-Nederland (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE03  ","Midden-Nederland (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE04  ","Noord-Holland (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE05  ","Amsterdam (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE06  ","Den Haag (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE07  ","Rotterdam (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE08  ","Zeeland - West-Brabant (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE09  ","Oost-Brabant (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE10  ","Limburg (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.",
"RE99  ","Niet in te delen (RE)","RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.

Niet in te delen: door een gebrek aan informatie of door onjuiste informatie is een toedeling aan een bepaalde regionale eenheid niet altijd mogelijk.",
