year,incident_count,Soort incident,rel_frequency,COVID,prop_since2012,prop_sinceprevious,percentage_change_since2012,percentage_change_sinceprevious
2012,1039863,Criminaliteit,6208.147289709326,0,100,NA,0,NA
2013,991335,Criminaliteit,5901.595339529506,0,95.0621024941215,95.0621024941215,-4.937897505878496,-4.937897505878496
2014,920287,Criminaliteit,5458.327591479027,0,87.92200533848148,92.48901826457966,-12.077994661518517,-7.510981735420344
2015,880412,Criminaliteit,5200.975726925006,0,83.77661618219311,95.28515172017575,-16.22338381780689,-4.714848279824253
2016,833160,Criminaliteit,4894.579782301076,0,78.84123159278728,94.1088757050385,-21.15876840721272,-5.8911242949615
2017,737816,Criminaliteit,4309.115002721756,0,69.41064381421135,88.03850778576793,-30.589356185788645,-11.961492214232067
2018,689260,Criminaliteit,4002.682953989815,0,64.47467766469867,92.88874749134357,-35.525322335301325,-7.111252508656435
2019,720574,Criminaliteit,4156.618191243707,0,66.95424572374031,103.84580140429188,-33.045754276259686,3.8458014042918762
2020,722672,Criminaliteit,4144.813257825322,1,66.76409344694184,99.71599668588148,-33.23590655305816,-0.28400331411852164
2021,666924,Criminaliteit,3806.974501338322,1,61.322232280938195,91.84911996097371,-38.677767719061805,-8.15088003902629
2022,717061,Criminaliteit,4051.6676272235363,0,65.26371618050383,106.42749579224115,-34.736283819496165,6.427495792241146
2023,725585,Criminaliteit,4060.2848368840855,0,65.4025210325542,100.21268303457691,-34.597478967445795,0.21268303457691218
2012,279325,Overlast,1667.614620097126,0,100,NA,0,NA
2013,291796,Overlast,1737.1140065601958,0,104.16759277746209,104.16759277746209,4.16759277746209,4.16759277746209
2014,310253,Overlast,1840.1460742563381,0,110.34600273228376,105.9312208241395,10.346002732283765,5.931220824139501
2015,305379,Overlast,1804.0062681024697,0,108.1788469806891,98.03603601586501,8.178846980689102,-1.9639639841349918
2016,333401,Overlast,1958.636749242596,0,117.45140187896172,108.57150464908158,17.45140187896172,8.571504649081575
2017,351285,Overlast,2051.6327427585093,0,123.02798968259327,104.74799594931908,23.027989682593272,4.747995949319076
2018,349988,Overlast,2032.4565500696215,0,121.87807216221493,99.06532040119887,21.878072162214934,-0.9346795988011252
2019,366802,Overlast,2115.8907562367976,0,126.8812788480808,104.10509175039034,26.881278848080797,4.1050917503903435
2020,510172,Overlast,2926.040678719059,1,175.46264247483268,138.2888350967206,75.46264247483268,38.28883509672059
2021,536959,Overlast,3065.100703024819,1,183.80150102343788,104.75249798531975,83.80150102343788,4.752497985319749
2022,461353,Overlast,2606.820082004823,0,156.32029430474742,85.04843183234605,56.32029430474742,-14.951568167653946
2023,444177,Overlast,2485.560117688021,0,149.04883225017875,95.34835698275178,49.04883225017875,-4.651643017248219
