Soort misdrijf,rank_order,year,incident_count,COVID,rel_frequency,prop_since2012,prop_sinceprevious,percentage_change_since2012,percentage_change_sinceprevious
Diefstal uit/vanaf motorvoertuigen,4,2012,99450,0,593.7322973907068,100,NA,0,NA
Diefstal uit/vanaf motorvoertuigen,4,2013,96122,0,572.2315334637183,96.37871073858058,96.37871073858058,-3.6212892614194203,-3.6212892614194203
Diefstal uit/vanaf motorvoertuigen,4,2014,84717,0,502.46622908650096,84.6284144040512,87.80820344608976,-15.371585595948801,-12.191796553910237
Diefstal uit/vanaf motorvoertuigen,4,2015,82098,0,484.98851132093745,81.68471101409358,96.5216134430888,-18.31528898590642,-3.478386556911204
Diefstal uit/vanaf motorvoertuigen,4,2016,77412,0,454.77364504715894,76.59573970386424,93.76998308857175,-23.40426029613576,-6.230016911428251
Diefstal uit/vanaf motorvoertuigen,4,2017,63759,0,372.375854492904,62.717803314624355,81.88158187009486,-37.282196685375645,-18.118418129905137
Diefstal uit/vanaf motorvoertuigen,4,2018,53478,0,310.55839452959304,52.30613121341275,83.39917606970165,-47.69386878658725,-16.600823930298347
Diefstal uit/vanaf motorvoertuigen,4,2019,48515,0,279.8579070965486,47.135368637759576,90.11442357578295,-52.864631362240424,-9.88557642421705
Diefstal uit/vanaf motorvoertuigen,4,2020,45250,1,259.5268668449806,43.71109134293875,92.73522750795317,-56.28890865706125,-7.264772492046831
Diefstal uit/vanaf motorvoertuigen,4,2021,38642,1,220.57851971246416,37.1511741372075,84.99255679922307,-62.8488258627925,-15.007443200776933
Diefstal uit/vanaf motorvoertuigen,4,2022,43210,0,244.15294957099746,41.1217228107657,110.6875455911409,-58.8782771892343,10.687545591140903
Diefstal uit/vanaf motorvoertuigen,4,2023,43515,0,243.50461307360405,41.01252603972213,99.73445477577371,-58.98747396027787,-0.2655452242262868
"Diefstal van brom-, snor-, fietsen",2,2012,123742,0,738.7593961158456,100,NA,0,NA
