Soort overlast,rank_order,year,incident_count,COVID,rel_frequency,prop_since2012,prop_sinceprevious,percentage_change_since2012,percentage_change_sinceprevious
Geluidshinder evenement,8,2012,2078,0,12.40599008524775,100,NA,0,NA
Geluidshinder evenement,8,2013,2068,0,12.311175497835766,99.23573542489987,99.23573542489987,-0.7642645751001282,-0.7642645751001282
Geluidshinder evenement,8,2014,2348,0,13.926256901154483,112.2542965572294,113.11882365418835,12.254296557229395,13.118823654188347
Geluidshinder evenement,8,2015,1897,0,11.20640217759042,90.33057499309315,80.46959249086818,-9.669425006906849,-19.53040750913182
Geluidshinder evenement,8,2016,1856,0,10.9034760141519,87.88880161300045,97.29684729641164,-12.111198386999547,-2.7031527035883585
Geluidshinder evenement,8,2017,1834,0,10.711230055991875,86.3391795607579,98.23683788628044,-13.660820439242102,-1.7631621137195594
Geluidshinder evenement,8,2018,1689,0,9.808390896452423,79.06173412242049,91.57109729863002,-20.93826587757951,-8.428902701369978
Geluidshinder evenement,8,2019,1593,0,9.189191920123713,74.07060506239478,93.68704833580128,-25.929394937605224,-6.312951664198721
Geluidshinder evenement,8,2020,679,1,3.8943368527677746,31.390778374058357,42.37953550887797,-68.60922162594164,-57.62046449112203
Geluidshinder evenement,8,2021,1080,1,6.164919033421182,49.693083672153094,158.30471955808505,-50.306916327846906,58.304719558085054
Geluidshinder evenement,8,2022,1739,0,9.826012018143128,79.20377132839617,159.38590539266576,-20.796228671603828,59.38590539266576
Geluidshinder evenement,8,2023,1326,0,7.420133676562081,59.810894782074136,75.51521067612434,-40.189105217925864,-24.48478932387566
Geluidshinder horeca,7,2012,7899,0,47.15828473694513,100,NA,0,NA
Geluidshinder horeca,7,2013,7794,0,46.39908212288779,98.39009705655695,98.39009705655695,-1.6099029434430463,-1.6099029434430463
Geluidshinder horeca,7,2014,7495,0,44.45370335355743,94.26488601425137,95.80729040247384,-5.735113985748626,-4.192709597526161
Geluidshinder horeca,7,2015,6372,0,37.64216904354568,79.82090369384395,84.677239923439,-20.179096306156055,-15.322760076560996
Geluidshinder horeca,7,2016,6270,0,36.8344798538429,78.10818408538454,97.8542968956746,-21.891815914615464,-2.1457031043254062
Geluidshinder horeca,7,2017,5796,0,33.850757581531575,71.78114677061598,91.89964868745109,-28.218853229384024,-8.10035131254891
Geluidshinder horeca,7,2018,5478,0,31.81193921300555,67.45779535972645,93.97703769667369,-32.54220464027355,-6.0229623033263096
Geluidshinder horeca,7,2019,4767,0,27.498353975662113,58.31075945414768,86.44035747566143,-41.68924054585232,-13.559642524338571
Geluidshinder horeca,7,2020,3136,1,17.9862155674223,38.140097053469354,65.40833528923697,-61.859902946530646,-34.59166471076303
Geluidshinder horeca,7,2021,2540,1,14.498976245268334,30.745342681875425,80.61160053885789,-69.25465731812457,-19.388399461142114
Geluidshinder horeca,7,2022,4199,0,23.7259485130437,50.31130509811805,163.6387846403055,-49.68869490188195,63.63878464030549
Geluidshinder horeca,7,2023,3231,0,18.080280474337922,38.33956339843998,76.20466875917738,-61.66043660156002,-23.79533124082262
Geluidshinder overig,1,2012,98230,0,586.448703596673,100,NA,0,NA
Geluidshinder overig,1,2013,103522,0,616.2850628080049,105.0876332453881,105.0876332453881,5.087633245388105,5.087633245388105
Geluidshinder overig,1,2014,108474,0,643.3717168210526,109.70639254128663,104.39515017443902,9.706392541286633,4.395150174439024
Geluidshinder overig,1,2015,104647,0,618.1952391556694,105.41335250027764,96.08679135138516,5.4133525002776395,-3.913208648614841
Geluidshinder overig,1,2016,111613,0,655.6948644221638,111.8077097623042,106.0659841569973,11.8077097623042,6.0659841569973025
Geluidshinder overig,1,2017,115286,0,673.312359997317,114.81180806913062,102.68684361142262,14.81180806913062,2.686843611422617
Geluidshinder overig,1,2018,117559,0,682.6907195950565,116.41098623087306,101.39286906864103,16.410986230873064,1.3928690686410334
Geluidshinder overig,1,2019,113874,0,656.8801259963388,112.00981807406377,96.2192845372166,12.009818074063773,-3.780715462783405
Geluidshinder overig,1,2020,170392,1,977.2663402309377,166.64140175217224,148.7739241233163,66.64140175217224,48.773924123316306
Geluidshinder overig,1,2021,199773,1,1140.355898207083,194.45109030224012,116.68834290738037,94.45109030224012,16.688342907380374
Geluidshinder overig,1,2022,132042,0,746.0875669348217,127.22128335506382,65.42585241220331,27.221283355063818,-34.57414758779669
Geluidshinder overig,1,2023,108202,0,605.4851463584995,103.24605419793352,81.15470263712285,3.2460541979335176,-18.845297362877147
Melding overlast jeugd,3,2012,90714,0,541.5769896983467,100,NA,0,NA
