incident_type_code,year,incident_count,population,COVID
Totaal misdrijven,2012,1127869,16749973.083333334,0
Totaal misdrijven,2013,1078663,16797746.083333332,0
Totaal misdrijven,2014,1002649,16860237.583333332,0
Totaal misdrijven,2015,961208,16927823.666666668,0
Totaal misdrijven,2016,914207,17022094.583333332,0
Totaal misdrijven,2017,816603,17122216.5,0
Totaal misdrijven,2018,770427,17219949.916666668,0
Totaal misdrijven,2019,803646,17335583.083333332,0
Totaal misdrijven,2020,797805,17435574.416666668,1
Totaal misdrijven,2021,742992,17518478.25,1
Totaal misdrijven,2022,799895,17697922.583333332,0
Totaal misdrijven,2023,802043,17870298,0
1.1.1 Diefstal/inbraak woning,2012,91595,16749973.083333334,0
1.1.1 Diefstal/inbraak woning,2013,87455,16797746.083333332,0
1.1.1 Diefstal/inbraak woning,2014,71143,16860237.583333332,0
1.1.1 Diefstal/inbraak woning,2015,64676,16927823.666666668,0
1.1.1 Diefstal/inbraak woning,2016,55495,17022094.583333332,0
1.1.1 Diefstal/inbraak woning,2017,49209,17122216.5,0
1.1.1 Diefstal/inbraak woning,2018,42887,17219949.916666668,0
1.1.1 Diefstal/inbraak woning,2019,39474,17335583.083333332,0
1.1.1 Diefstal/inbraak woning,2020,30571,17435574.416666668,1
1.1.1 Diefstal/inbraak woning,2021,23525,17518478.25,1
1.1.1 Diefstal/inbraak woning,2022,24414,17697922.583333332,0
1.1.1 Diefstal/inbraak woning,2023,22706,17870298,0
1.1.2 Diefstal/inbraak box/garage/schuur,2012,20050,16749973.083333334,0
1.1.2 Diefstal/inbraak box/garage/schuur,2013,23044,16797746.083333332,0
1.1.2 Diefstal/inbraak box/garage/schuur,2014,21862,16860237.583333332,0
1.1.2 Diefstal/inbraak box/garage/schuur,2015,21224,16927823.666666668,0
1.1.2 Diefstal/inbraak box/garage/schuur,2016,18493,17022094.583333332,0
1.1.2 Diefstal/inbraak box/garage/schuur,2017,15235,17122216.5,0
1.1.2 Diefstal/inbraak box/garage/schuur,2018,12526,17219949.916666668,0
1.1.2 Diefstal/inbraak box/garage/schuur,2019,12250,17335583.083333332,0
1.1.2 Diefstal/inbraak box/garage/schuur,2020,13804,17435574.416666668,1
1.1.2 Diefstal/inbraak box/garage/schuur,2021,12285,17518478.25,1
1.1.2 Diefstal/inbraak box/garage/schuur,2022,10677,17697922.583333332,0
1.1.2 Diefstal/inbraak box/garage/schuur,2023,11000,17870298,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2012,99450,16749973.083333334,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2013,96122,16797746.083333332,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2014,84717,16860237.583333332,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2015,82098,16927823.666666668,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2016,77412,17022094.583333332,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2017,63759,17122216.5,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2018,53478,17219949.916666668,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2019,48515,17335583.083333332,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2020,45250,17435574.416666668,1
1.2.1 Diefstal uit/vanaf motorvoertuigen,2021,38642,17518478.25,1
1.2.1 Diefstal uit/vanaf motorvoertuigen,2022,43210,17697922.583333332,0
1.2.1 Diefstal uit/vanaf motorvoertuigen,2023,43515,17870298,0
1.2.2 Diefstal van motorvoertuigen,2012,16120,16749973.083333334,0
1.2.2 Diefstal van motorvoertuigen,2013,16890,16797746.083333332,0
1.2.2 Diefstal van motorvoertuigen,2014,15475,16860237.583333332,0
1.2.2 Diefstal van motorvoertuigen,2015,14778,16927823.666666668,0
1.2.2 Diefstal van motorvoertuigen,2016,13225,17022094.583333332,0
1.2.2 Diefstal van motorvoertuigen,2017,11615,17122216.5,0
1.2.2 Diefstal van motorvoertuigen,2018,10707,17219949.916666668,0
1.2.2 Diefstal van motorvoertuigen,2019,9995,17335583.083333332,0
1.2.2 Diefstal van motorvoertuigen,2020,9678,17435574.416666668,1
1.2.2 Diefstal van motorvoertuigen,2021,7990,17518478.25,1
1.2.2 Diefstal van motorvoertuigen,2022,9017,17697922.583333332,0
1.2.2 Diefstal van motorvoertuigen,2023,9303,17870298,0
"1.2.3 Diefstal van brom-, snor-, fietsen",2012,123742,16749973.083333334,0
"1.2.3 Diefstal van brom-, snor-, fietsen",2013,122796,16797746.083333332,0
"1.2.3 Diefstal van brom-, snor-, fietsen",2014,127392,16860237.583333332,0
"1.2.3 Diefstal van brom-, snor-, fietsen",2015,123438,16927823.666666668,0
"1.2.3 Diefstal van brom-, snor-, fietsen",2016,110864,17022094.583333332,0
"1.2.3 Diefstal van brom-, snor-, fietsen",2017,91582,17122216.5,0
"1.2.3 Diefstal van brom-, snor-, fietsen",2018,82081,17219949.916666668,0
